state,colonies_number,yield_per_colony,production,stocks,average_price,value_of_production,year
Arkansas,22000,60,66000,66000,202,2666000,2013
California,330000,33,2505000,2505000,211,22978000,2013
Colorado,26000,43,324000,324000,210,2348000,2013
Florida,220000,61,1074000,1074000,203,27243000,2013
Georgia,67000,50,637000,637000,226,7571000,2013
Hawaii,13000,83,65000,65000,197,2126000,2013
Idaho,83000,32,1036000,1036000,202,5365000,2013
Illinois,7000,48,101000,101000,419,1408000,2013
Indiana,6000,47,82000,82000,277,781000,2013
Iowa,39000,48,1217000,1217000,245,4586000,2013
Kansas,6000,46,39000,39000,250,690000,2013
Kentucky,3000,41,17000,17000,325,400000,2013
Louisiana,50000,98,490000,490000,189,9261000,2013
Maine,7000,43,27000,27000,314,945000,2013
Michigan,85000,55,982000,982000,216,10098000,2013
Minnesota,130000,58,1282000,1282000,199,15005000,2013
Mississippi,17000,116,39000,39000,186,3668000,2013
Missouri,10000,47,85000,85000,262,1231000,2013
Montana,159000,94,5231000,5231000,209,31237000,2013
Nebraska,46000,60,1628000,1628000,207,5713000,2013
NewJersey,11000,44,34000,34000,419,2028000,2013
NewYork,55000,48,1030000,1030000,212,5597000,2013
NorthCarolina,10000,38,84000,84000,367,1395000,2013
NorthDakota,480000,69,6955000,6955000,204,67565000,2013
Ohio,17000,45,390000,390000,329,2517000,2013
Oregon,62000,35,456000,456000,239,5186000,2013
Pennsylvania,13000,45,257000,257000,303,1773000,2013
SouthDakota,265000,56,6381000,6381000,207,30719000,2013
Tennessee,7000,45,63000,63000,355,1118000,2013
Texas,106000,59,1689000,1689000,210,13133000,2013
Utah,30000,34,92000,92000,209,2132000,2013
Vermont,3000,51,46000,46000,389,595000,2013
Virginia,5000,35,42000,42000,450,788000,2013
Washington,69000,39,1023000,1023000,230,6189000,2013
WestVirginia,6000,46,83000,83000,366,1010000,2013
Wisconsin,59000,60,1558000,1558000,238,8425000,2013
Wyoming,47000,66,558000,558000,211,6545000,2013
Alabama,7000,53,26000,26000,353,1310000,2014
Arizona,26000,39,193000,193000,192,1947000,2014
Arkansas,21000,65,137000,137000,204,2785000,2014
California,320000,39,2995000,2995000,206,25709000,2014
Colorado,27000,37,200000,200000,211,2108000,2014
Florida,245000,60,1029000,1029000,208,30576000,2014
Georgia,73000,62,362000,362000,219,9912000,2014
Hawaii,15000,93,140000,140000,229,3195000,2014
Idaho,100000,34,850000,850000,203,6902000,2014
Illinois,8000,49,94000,94000,411,1611000,2014
Indiana,5000,62,115000,115000,319,989000,2014
Iowa,35000,43,933000,933000,241,3627000,2014
Kansas,7000,75,84000,84000,238,1250000,2014
